Net generation United States all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvg&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202304&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
10:34:47 GMT-0400 (EDT)
Data source: U.S. Energy Information Administration
Month,conventional hydroelectric thousand megawatthours
Apr 2023,17917.05808
Mar 2023,20630.17295
Feb 2023,19338.35544
Jan 2023,22954.32437
Dec 2022,21870.06448
Nov 2022,18764.33935
Oct 2022,14638.18031
Sep 2022,16812.16309
Aug 2022,21713.13799
Jul 2022,24192.81754
Jun 2022,26892.27841
May 2022,23071.36486
Apr 2022,19572.91049
Mar 2022,25356.17477
Feb 2022,22903.50039
Jan 2022,26212.55012
Dec 2021,23561.87556
Nov 2021,19373.24966
Oct 2021,17132.93623
Sep 2021,17022.26652
Aug 2021,20328.14723
Jul 2021,22097.51226
Jun 2021,23454.07921
May 2021,23308.96396
Apr 2021,19388.82781
Mar 2021,21220.43408
Feb 2021,20136.50917
Jan 2021,24560.04066
Dec 2020,21507.84718
Nov 2020,20892.65917
Oct 2020,18810.4061
Sep 2020,18678.80991
Aug 2020,23283.5577
Jul 2020,26741.77947
Jun 2020,27999.3837
May 2020,29976.16051
Apr 2020,23194.35466
Mar 2020,23823.01748
Feb 2020,25868.06177
Jan 2020,24497.85718
Dec 2019,21478.18136
Nov 2019,20217.59733
Oct 2019,18305.81291
Sep 2019,18525.75999
Aug 2019,22578.66752
Jul 2019,24875.39844
Jun 2019,28077.76308
May 2019,31982.04155
Apr 2019,27820.1768
Mar 2019,26333.98533
Feb 2019,22880.53778
Jan 2019,24797.80842
Dec 2018,22797.16131
Nov 2018,21912.71643
Oct 2018,19548.19092
Sep 2018,19165.6208
Aug 2018,22016.90536
Jul 2018,25099.52896
Jun 2018,27597.48847
May 2018,30444.28385
Apr 2018,28115.15452
Mar 2018,25860.604
Feb 2018,24902.25758
Jan 2018,25064.07663
Dec 2017,22247.84164
Nov 2017,19888.33402
Oct 2017,17698.17945
Sep 2017,19151.75538
Aug 2017,22033.85574
Jul 2017,26598.24651
Jun 2017,30575.29559
May 2017,32607.11514
Apr 2017,29409.46563
Mar 2017,29613.19463
Feb 2017,23881.76459
Jan 2017,26627.88134
Dec 2016,22527.76456
Nov 2016,18808.26528
Oct 2016,17338.85654
Sep 2016,16367.68403
Aug 2016,19569.54914
Jul 2016,21455.32093
Jun 2016,23236.86739
May 2016,25486.38143
Apr 2016,25878.02878
Mar 2016,27389.8772
