"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","CITY","STRATA","GQ","RENTGRS","HHINCOME","PERNUM","PERWT","AGE","RACE","RACED","RACNUM"
2021,202101,617669,2021010000280,144.0,2021006176691,810,330425,4,0,9999999,1,144.0,30,1,100,1
2021,202101,617671,2021010000309,11.0,2021006176711,810,330525,4,0,9999999,1,11.0,61,1,100,1
2021,202101,617678,2021010000591,87.0,2021006176781,810,330225,4,0,9999999,1,87.0,18,2,200,1
2021,202101,617680,2021010000619,90.0,2021006176801,810,330125,4,0,9999999,1,90.0,19,6,640,1
2021,202101,617686,2021010000720,69.0,2021006176861,810,330125,4,0,9999999,1,69.0,20,1,100,1
2021,202101,617687,2021010000733,10.0,2021006176871,810,330325,4,0,9999999,1,10.0,28,1,100,1
2021,202101,617690,2021010000797,7.0,2021006176901,810,330125,4,0,9999999,1,7.0,21,8,826,2
2021,202101,617695,2021010000909,85.0,2021006176951,810,330125,4,0,9999999,1,85.0,18,1,100,1
2021,202101,617697,2021010001062,80.0,2021006176971,810,330125,4,0,9999999,1,80.0,28,2,200,1
2021,202101,617703,2021010001182,67.0,2021006177031,810,330125,4,0,9999999,1,67.0,19,2,200,1
2021,202101,617713,2021010001462,48.0,2021006177131,810,330225,4,0,9999999,1,48.0,20,8,826,2
2021,202101,617721,2021010001684,67.0,2021006177211,810,330125,4,0,9999999,1,67.0,19,6,643,1
2021,202101,617729,2021010001801,75.0,2021006177291,810,330125,4,0,9999999,1,75.0,19,1,100,1
2021,202101,617736,2021010002015,51.0,2021006177361,810,330125,4,0,9999999,1,51.0,19,1,100,1
2021,202101,617740,2021010002192,23.0,2021006177401,810,330125,4,0,9999999,1,23.0,19,1,100,1
2021,202101,617741,2021010002208,107.0,2021006177411,810,330125,4,0,9999999,1,107.0,23,7,700,1
2021,202101,617754,2021010002516,32.0,2021006177541,810,330125,4,0,9999999,1,32.0,22,7,700,1
2021,202101,617757,2021010002646,103.0,2021006177571,810,330125,4,0,9999999,1,103.0,20,8,826,2
2021,202101,617764,2021010002888,12.0,2021006177641,810,330425,3,0,9999999,1,12.0,11,2,200,1
2021,202101,617769,2021010002970,88.0,2021006177691,810,330125,4,0,9999999,1,88.0,19,1,100,1
2021,202101,617781,2021010003258,22.0,2021006177811,810,330225,4,0,9999999,1,22.0,1,1,100,1
2021,202101,617793,2021010003582,95.0,2021006177931,810,330125,4,0,9999999,1,95.0,28,2,200,1
2021,202101,617794,2021010003594,33.0,2021006177941,810,330325,3,0,9999999,1,33.0,82,1,100,1
2021,202101,617798,2021010003727,66.0,2021006177981,810,330125,4,0,9999999,1,66.0,21,1,100,1
2021,202101,617799,2021010003751,10.0,2021006177991,810,330525,4,0,9999999,1,10.0,65,1,100,1
2021,202101,617808,2021010004127,74.0,2021006178081,810,330125,4,0,9999999,1,74.0,19,8,826,2
2021,202101,617810,2021010004167,11.0,2021006178101,810,330125,4,0,9999999,1,11.0,19,1,100,1
2021,202101,617823,2021010004505,90.0,2021006178231,810,330125,4,0,9999999,1,90.0,19,1,100,1
2021,202101,617825,2021010004565,193.0,2021006178251,810,330125,4,0,9999999,1,193.0,18,1,100,1
2021,202101,617833,2021010004651,9.0,2021006178331,810,330525,4,0,9999999,1,9.0,54,1,100,1
2021,202101,617839,2021010004823,86.0,2021006178391,810,330225,4,0,9999999,1,86.0,19,8,802,2
